Day,Prompt
01,What is one boundary you need to set that you’ve been avoiding?
02,How does it feel when you have to say 'no' to someone?
03,What is one area of your life where you feel your energy is being drained?
04,How do you communicate your needs to others?
05,What is the difference between being 'helpful' and being a 'people-pleaser'?
06,List three boundaries that would improve your work-life balance.
07,How do you handle people who push your boundaries?
08,What is one way you can be more assertive this week?
09,How do you identify when you are over-extended?
10,What does a 'healthy relationship' look like in terms of boundaries?
11,Reflect on a time you didn't set a boundary and the consequence.
12,How do you practice saying 'no' without over-explaining?
13,What is one boundary you have set that you are proud of?
14,How do you set boundaries with your digital life and phone usage?
15,What is one thing you can do to honor your own time?
16,How do you handle guilt when setting a boundary?
17,What is a boundary you need to set with yourself?
18,How do you communicate your limits in a kind but firm way?
19,What is one way you can protect your energy before a big meeting or event?
20,How do you handle it when your needs conflict with someone else's?
21,What are three non-negotiables for you in your personal time?
22,How do you ensure you get the rest you need?
23,What is one thing you can delegate or ask for help with?
24,Reflect on how boundaries have improved your life.
25,How do you check in with yourself to see if your boundaries are respected?
26,What is one boundary that would help your physical health?
27,How do you handle expectations placed on you by others?
28,What is one way you can be kinder to yourself when setting boundaries?
29,What is a boundary that would protect your emotional well-being?
30,Write a commitment to respecting your own time and space.
