Day,Prompt
01,What is one small thing that happened today that made you smile?
02,List three people in your life you are grateful for and why.
03,What is one aspect of your personality you are grateful for?
04,Reflect on a challenge you’ve faced and what you learned from it.
05,What is a material possession that makes your life easier?
06,What is one thing about nature that you appreciate?
07,Who is someone who supported you when you needed it most?
08,What is a memory that always makes you feel good?
09,List three things about your home you are thankful for.
10,What is one opportunity you’ve had that you are grateful for?
11,How can you express gratitude to someone who has helped you?
12,What is one body part you are grateful for and why?
13,What is one simple pleasure you enjoyed today?
14,Reflect on a 'lucky' moment in your life.
15,What is one skill or talent you possess?
16,Who is a stranger who showed you kindness?
17,What is a lesson you learned the hard way that you are now grateful for?
18,What is one thing you are grateful for that you usually take for granted?
19,How does practicing gratitude change your perspective on life?
20,What is one change you made in your life that you are thankful for?
21,List three things you love about the current season.
22,What is one thing you are grateful for about your past self?
23,What is one thing you are looking forward to?
24,How can you make gratitude a daily habit?
25,What is one thing you are grateful for about your work or studies?
26,Reflect on your health and why you appreciate it.
27,"Who is an author, artist, or mentor you are grateful for?"
28,What is a difficult situation you are grateful for overcoming?
29,What is one thing you are thankful for today that wasn't here yesterday?
30,Write a letter of gratitude to yourself.
