Day,Prompt
01,"What is one thing you can feel, hear, and see right now?"
02,How can you be more present during your meals today?
03,When was the last time you felt completely in the moment?
04,What is one thing that distracts you from the present?
05,Practice a five-minute mindfulness exercise. How did it feel?
06,How can you make your commute/travel more mindful?
07,What does it mean to you to 'be here now'?
08,How do you bring yourself back to the present when you get anxious?
09,What is one way you can practice active listening today?
10,List three things you often overlook in your daily routine.
11,How can you turn a routine task into a mindfulness practice?
12,What does your breath feel like right now?
13,Reflect on a moment today that you were fully 'aware'.
14,What is one thing you can notice about the world around you?
15,How do you handle the urge to multitask?
16,What is one way you can disconnect from technology to be present?
17,How does your body feel when you are stressed vs. present?
18,What is one thing you are doing *just* for the joy of it?
19,How can you be more present in your conversations?
20,What does a 'slow' pace look like for you?
21,What is one thing you are grateful for right now?
22,How do you handle the tendency to live in the past or future?
23,What is one way you can simplify your day to be more present?
24,Reflect on the beauty in a mundane moment today.
25,How do you practice gratitude while being present?
26,What is one physical object you can focus on to ground yourself?
27,How can you be more patient with yourself today?
28,What is one thing you can do to enjoy the current moment?
29,Write down a mantra for staying in the present.
30,What is one thing you learned about yourself by being present?
