Day,Prompt
01,What does 'creativity' mean to you?
02,When do you feel most creative?
03,What is one hobby you have wanted to try?
04,How do you overcome a 'creative block'?
05,What are three things that inspire you?
06,What is one way you can express yourself without judgment?
07,How do you make space for creativity in your daily life?
08,Reflect on a creative project you are proud of.
09,What is one thing you can do to play like a child?
10,How do you deal with the fear of being 'bad' at something creative?
11,What is one environment that sparks your ideas?
12,How can you combine two unrelated ideas to create something new?
13,What is one thing you can create with your hands today?
14,How do you honor your creative impulses?
15,What is a creative skill you’ve always wanted to learn?
16,How do you handle perfectionism when creating?
17,What is one way you can change your routine to spark inspiration?
18,What is one story you’ve always wanted to tell?
19,How do you capture your ideas?
20,Reflect on what creativity brings to your life.
21,What is one thing you can doodle or write just for fun?
22,How do you use your creativity to solve a problem?
23,What is one thing that makes you feel 'stuck'?
24,How can you be more playful with your work?
25,What is one thing you can learn from a different field/discipline?
26,Reflect on how your creativity has evolved.
27,How do you give yourself permission to create?
28,What is one small project you can finish this week?
29,How do you protect your creative time?
30,Write a letter to your creative self.
