Day,Prompt
01,What does 'peace' feel like in your body right now?
02,Identify one situation that triggers your stress response.
03,Describe a place where you feel completely safe and calm.
04,What is one physical sensation of anxiety you notice in your body?
05,Practice deep breathing for three minutes. How do you feel afterward?
06,What is one thing you can do to make your space feel more tranquil?
07,How do you soothe yourself when life feels chaotic?
08,Write about a time you felt profoundly at peace.
09,What does your 'calm down' routine look like?
10,List three things you can control when everything feels out of control.
11,What is a thought you can replace with a more peaceful alternative?
12,How can you incorporate more silence into your day?
13,What does 'resting' look like for you beyond just sleep?
14,When do you feel most pressured? How can you alleviate that pressure?
15,What is a habit that helps you stay grounded during the day?
16,Write a letter to your nervous system acknowledging its hard work.
17,What is one boundary you need to set to protect your peace?
18,List three things you are grateful for that bring you comfort.
19,How do you handle transitions between work and home?
20,What is one activity that makes time slow down for you?
21,Reflect on the power of saying 'no' to reduce stress.
22,What is one thing you are worried about that you can release today?
23,How do you practice kindness toward yourself during stressful times?
24,What does a 'slow day' look like for you?
25,"Identify one sound, smell, or texture that instantly calms you."
26,How do you handle unexpected changes in your schedule?
27,What is one thing you are doing to nurture your mental health?
28,Write down a mantra that brings you back to center.
29,What has been your biggest win in managing stress this month?
30,What is one promise you make to yourself to prioritize calm?
