Day,Prompt
01,Reflect on a time you failed. What did it teach you?
02,What is one 'tough' situation you are currently navigating?
03,List three strengths that help you get through hard times.
04,How do you define resilience in your own words?
05,What is a piece of evidence of your own inner strength?
06,Who do you look up to for their resilience?
07,What is one habit that helps you bounce back from setbacks?
08,How can you reframe a current difficulty as a growth opportunity?
09,What is one thing you are proud of surviving?
10,How do you handle criticism or negative feedback?
11,What does it mean to be 'gentle with yourself' during a struggle?
12,What is one thing you learned from a past mistake?
13,How do you stay hopeful when things don't go as planned?
14,What is one small step you can take today despite the struggle?
15,List three things that make you feel capable and strong.
16,How do you reach out for help when you need it?
17,What is one fear you have overcome?
18,Reflect on the growth you have achieved in the last year.
19,What is one thing that gives you perspective when you're down?
20,"How do you celebrate your progress, no matter how small?"
21,What is one boundary that protects your emotional resilience?
22,How can you turn 'I can't' into 'I'm learning how'?
23,What is one source of support you can rely on?
24,Reflect on a time you stood up for yourself.
25,How do you practice patience when results aren't immediate?
26,What is one thing you’ve done that was really hard but worth it?
27,How do you maintain your values during difficult times?
28,What is one thing that grounds you when things are chaotic?
29,How do you practice self-forgiveness after a setback?
30,Write a commitment to yourself about your resilience.
