Day,Prompt
01,What is one thing you’ve learned about yourself this month?
02,Reflect on a goal you reached. How did you feel?
03,What is a mistake you made that you are now grateful for?
04,How has your perspective changed in the last six months?
05,What is one thing you want to carry forward into the next season?
06,What is one thing you want to leave behind in the past?
07,How do you honor your own growth?
08,What are three things you’ve accomplished that you usually overlook?
09,Reflect on your most meaningful relationship.
10,What is one piece of wisdom you’ve gained recently?
11,How do you define your current identity?
12,What is one thing you are doing differently now compared to a year ago?
13,How do you handle change?
14,What are three qualities you are developing in yourself?
15,Reflect on your biggest challenge and how you navigated it.
16,What is one thing that truly matters to you right now?
17,How do you take care of your spirit?
18,What is one way you’ve surprised yourself recently?
19,Reflect on your definition of success.
20,What is one thing you want to do more of?
21,What is one thing you want to do less of?
22,How do you practice self-reflection regularly?
23,Reflect on your proudest moment.
24,What is one thing you still want to explore?
25,"How do you balance your past, present, and future?"
26,What is one question you want to ask yourself more often?
27,How do you show up for yourself?
28,Reflect on the people who have influenced you.
29,What is one promise you make to your future self?
30,Write a summary of your journey so far.
